Time (d), O2 MC1 (%), CO2 MC1 (%), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM), Time (d), O2 MC3 (%), CO2 MC3 (%), Time (d), O2 MC4 (%), CO2 MC4 (%), Time (d), O2 MC5 (%), CO2 MC5 (%), pH MC5, DO MC5 (uM), Time (d), O2 MC6 (%), CO2 MC6 (%)
0.53519,21.08,2.80E-02,0.53664,21.08,2.20E-02,7.48,191.95,0.53822,21.08,2.40E-02,0.53978,21.08,2.70E-02,0.54127,21.08,3.10E-02,7.46,262.5,0.54272,21.08,2.60E-02
0.57674,21.07,3.30E-02,0.57823,21.07,3.30E-02,7.44,193.95,0.57968,21.06,3.50E-02,0.58112,21.06,3.30E-02,0.58262,21.06,3.30E-02,7.5,265.9,0.58406,21.06,3.30E-02
0.61844,21.09,2.30E-02,0.61993,21.09,2.50E-02,7.39,193.36,0.62138,21.08,2.70E-02,0.62282,21.08,2.30E-02,0.62431,21.07,2.30E-02,7.47,264.26,0.62576,21.08,2.30E-02
0.66015,21.06,2.40E-02,0.66163,21.05,2.30E-02,7.36,193.95,0.66309,21.05,2.30E-02,0.66453,21.06,2.30E-02,0.66602,21.05,2.30E-02,7.44,264.02,0.66759,21.04,2.30E-02
0.70185,21.07,2.60E-02,0.70334,21.07,3.20E-02,7.34,193.42,0.70479,21.07,3.20E-02,0.70624,21.07,3.20E-02,0.70773,21.07,3.20E-02,7.43,264.02,0.70918,21.07,3.20E-02
0.74353,21.08,2.30E-02,0.74501,21.07,2.20E-02,7.32,193.71,0.74646,21.07,2.70E-02,0.74789,21.08,2.20E-02,0.74938,21.08,3.10E-02,7.42,264.08,0.75081,21.07,3.10E-02
0.78539,21.07,3.20E-02,0.78686,21.06,3.20E-02,7.31,194.3,0.78843,21.06,3.20E-02,0.78999,21.06,3.20E-02,0.79146,21.06,3.20E-02,7.41,264.49,0.79303,21.06,3.30E-02
0.82703,21.06,2.40E-02,0.82851,21.05,2.30E-02,7.29,194.3,0.82995,21.05,2.30E-02,0.83139,21.05,2.30E-02,0.83287,21.04,2.40E-02,7.4,264.14,0.83432,21.04,2.50E-02
0.86881,21.06,2.40E-02,0.87029,21.07,3.30E-02,7.28,194.3,0.87175,21.06,3.30E-02,0.87319,21.06,2.40E-02,0.87468,21.06,3.30E-02,7.4,265.78,0.87612,21.05,3.00E-02
0.9105,21.06,2.70E-02,0.91199,21.06,2.30E-02,7.27,194.65,0.91344,21.05,2.30E-02,0.91488,21.06,2.40E-02,0.91638,21.07,2.40E-02,7.39,265.78,0.91782,21.06,2.30E-02
