Time (d), O2 MC1 (%), CO2 MC1 (%), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM), Time (d), O2 MC3 (%), CO2 MC3 (%), Time (d), O2 MC4 (%), CO2 MC4 (%), Time (d), O2 MC5 (%), CO2 MC5 (%), pH MC5, DO MC5 (uM), Time (d), O2 MC6 (%), CO2 MC6 (%)
33.49797,20.84,0.215,33.4995,20.81,0.243,6.59,181.11,33.5009,20.84,0.223,33.5024,20.85,0.214,33.5038,20.85,0.213,6.79,248.26,33.5053,20.8,0.236
33.53968,20.83,0.213,33.5412,20.78,0.247,6.58,176.78,33.5426,20.79,0.225,33.5441,20.8,0.215,33.5456,20.83,0.223,6.79,246.09,33.547,20.78,0.253
33.58138,20.83,0.215,33.5829,20.78,0.246,6.57,176.13,33.5843,20.82,0.233,33.5858,20.82,0.233,33.5872,20.82,0.233,6.78,244.51,33.5887,20.78,0.253
33.62307,20.82,0.225,33.6246,20.77,0.253,6.57,175.37,33.626,20.81,0.233,33.6275,20.82,0.224,33.6289,20.81,0.227,6.78,244.51,33.6304,20.77,0.253
33.66477,20.81,0.226,33.6662,20.77,0.254,6.56,175.84,33.6677,20.8,0.238,33.6691,20.82,0.234,33.6706,20.82,0.234,6.78,244.69,33.6721,20.78,0.254
33.70647,20.8,0.23,33.7079,20.75,0.258,6.57,175.37,33.7094,20.81,0.238,33.7109,20.82,0.228,33.7123,20.82,0.229,6.78,244.51,33.7138,20.79,0.255
33.74816,20.79,0.221,33.7497,20.75,0.254,6.56,175.2,33.7511,20.79,0.238,33.7525,20.8,0.221,33.754,20.8,0.226,6.78,244.51,33.7555,20.77,0.249
33.78986,20.8,0.23,33.7914,20.76,0.262,6.56,175.49,33.7928,20.78,0.248,33.7942,20.8,0.238,33.7957,20.8,0.238,6.77,245.04,33.7972,20.76,0.258
33.83156,20.81,0.235,33.833,20.74,0.263,6.55,175.2,33.8345,20.77,0.249,33.8359,20.77,0.238,33.8374,20.79,0.237,6.77,244.51,33.8389,20.75,0.263
33.87325,20.8,0.226,33.8747,20.74,0.263,6.55,175.14,33.8762,20.77,0.238,33.8776,20.77,0.233,33.8791,20.79,0.233,6.77,244.57,33.8806,20.76,0.253
33.91494,20.79,0.227,33.9164,20.73,0.256,6.55,177.01,33.9179,20.77,0.233,33.9193,20.77,0.226,33.9208,20.8,0.226,6.77,244.69,33.9223,20.76,0.253
33.95663,20.8,0.235,33.9581,20.75,0.263,6.55,176.54,33.9596,20.8,0.233,33.961,20.79,0.233,33.9625,20.82,0.233,6.77,244.63,33.964,20.77,0.253
