MC,TP,B_C,ID,Portion_Filter_Used,Vol_Filtered,Balanced_Atomic_%13C,mm_Carbon,total_C,mm_atomic_C,POC (_M)
MC1,0.5,B,C12_POC_TB0,0.5,60,1.068500476,2.570644251,77.11932753,82.40203817,85.6881417
MC1,0.8,B,C12_POC_TB0.3,0.5,60,1.066221979,2.718565568,81.55696704,86.9578308,90.61885227
MC1,1,B,C12_POC_TB0.5,0.5,59,1.07,4.19,123.605,132.25735,142.0338983
MC1,1.5,B,C12_POC_TB1,0.5,60,1.066553956,3.043610557,91.30831671,97.3852464,101.4536852
MC1,2.5,B,C12_POC_TB2,0.5,60,1.08,10.03823478,301.1470434,325.2388069,334.607826
MC1,3.5,B,C12_POC_TB3,0.5,54,1.09,7.16,193.32,210.7188,265.1851852
MC1,4.5,B,C12_POC_TB4,0.5,78,1.083662462,5.77,225.03,243.8565638,147.9487179
MC1,5.5,B,C12_POC_TB5,0.5,63,1.080895749,3.594902609,113.2394322,122.4000209,114.1238923
MC2,0.5,B,Met_POC_TB0,0.5,63,1.072215994,2.848943728,89.74172743,96.22251548,90.44265803
MC2,0.8,B,Met_POC_TB0.3,0.5,60,1.093079431,3.731983504,111.9595051,122.3806322,124.3994501
MC2,1,B,Met_POC_TB0.5,0.5,61,1.200372827,4.339860094,132.3657329,158.888229,142.2904949
MC2,1.5,B,Met_POC_TB1,0.5,59,1.328808049,4.581638161,135.1583257,179.5994711,155.3097682
MC2,2.5,B,Met_POC_TB2,0.5,60,1.890011035,12.94680604,388.4041812,734.0881885,431.5602013
MC2,3.5,B,Met_POC_TB3,0.5,60,6.984599822,7.521050831,225.6315249,1575.945909,250.7016944
MC2,4.5,B,Met_POC_TB4,0.5,73,19.16179869,7.547751508,275.49293,5278.940066,206.7877125
MC2,5.5,B,Met_POC_TB5,0.5,61,14.09588495,5.710888132,174.182088,2455.250673,187.2422338
MC3,0.5,B,Eth_POC_TB0,0.5,60,1.076452766,2.808118076,84.24354228,90.6841941,93.60393587
MC3,0.8,B,Eth_POC_TB0.3,0.5,59,1.117640223,3.391307571,100.0435733,111.8127216,114.9595787
MC3,1,B,Eth_POC_TB0.5,0.5,63,1.211450546,4.260566527,134.2078456,162.5861678,135.2560802
MC3,1.5,B,Eth_POC_TB1,0.5,72,1.629226512,4.125518435,148.5186637,241.9705444,114.5977343
MC3,2.5,B,Eth_POC_TB2,0.5,60,14.46305077,13.22379044,396.7137132,5737.690575,440.7930147
MC3,3.5,B,Eth_POC_TB3,0.5,62,13.74541242,10.26216146,318.1270053,4372.786889,331.0374665
MC3,4.5,B,Eth_POC_TB4,0.5,62,11.52157254,6.545325108,202.9050783,2337.785579,211.1395196
MC3,5.5,B,Eth_POC_TB5,0.5,59,10.13279914,6.260191445,184.6756476,1871.281243,212.2098795
MC4,0.5,B,Ace_POC_TB0,0.5,62,1.287858797,2.458484539,76.21302071,98.15160917,79.30595287
MC4,0.8,B,Ace_POC_TB0.3,0.5,60,1.400715415,3.470476228,104.1142868,145.8344865,115.6825409
MC4,1,B,Ace_POC_TB0.5,0.5,60,1.937314126,3.908882112,117.2664634,227.181976,130.2960704
MC4,1.5,B,Ace_POC_TB1,0.5,60,2.754455191,5.461915056,163.8574517,451.3380084,182.0638352
MC4,2.5,B,Ace_POC_TB2,0.5,62,18.02143244,13.20404717,409.3254623,7376.631164,425.9370055
MC4,3.5,B,Ace_POC_TB3,0.5,61,18.27215569,8.985750443,274.0653885,5007.765448,294.6147686
MC4,4.5,B,Ace_POC_TB4,0.5,59,11.83007424,10.26221879,302.7354543,3581.3829,347.8718234
MC4,5.5,B,Ace_POC_TB5,0.5,62,12.14673214,7.985831059,247.5607628,3007.054274,257.6074535
MC5,0.5,B,Glu_POC_TB0,0.5,63,1.764497055,2.159020371,68.00914169,120.0019302,68.54032924
MC5,0.8,B,Glu_POC_TB0.3,0.5,63,2.033271808,2.247026003,70.78131909,143.9176606,71.33415883
MC5,1,B,Glu_POC_TB0.5,0.5,63,2.013442045,3.798449042,119.6511448,240.9106457,120.5856839
MC5,1.5,B,Glu_POC_TB1,0.5,60,2.741581403,4.107604682,123.2281405,337.8399782,136.9201561
MC5,2.5,B,Glu_POC_TB2,0.5,60,27.31805719,12.86333333,385.8999999,10542.03827,428.7777777
