#OTU ID	Treatment	MC	B_C	TP	col	pch	Timepoint	POC	Atomic_C
C12TB0	Control	MC1-C12	Batch	0	gray70	21	0.5	85.6881417	1.06850048
C12TB1	Control	MC1-C12	Batch	1	gray70	21	1.5	101.4536852	1.06655396
C12TB2	Control	MC1-C12	Batch	2	gray70	21	2.5	334.607826	1.08
C12TB3	Control	MC1-C12	Batch	3	gray70	21	3.5	265.1851852	1.09
C12TB4	Control	MC1-C12	Batch	4	gray70	21	4.5	147.9487179	1.08366246
C12TB5	Control	MC1-C12	Batch	5	gray70	21	5.5	114.1238923	1.08089575
C12TC0	Control	MC1-C12	Chemostat	0	gray70	23	33.5	946.2980309	1.14657334
C12TC1	Control	MC1-C12	Chemostat	1	gray70	23	34.5	752.7935042	1.13
C12TC2	Control	MC1-C12	Chemostat	2	gray70	23	35.5	739.129544	1.11
C12TC3	Control	MC1-C12	Chemostat	3	gray70	23	36.5	784.4796828	1.1
C12TC4	Control	MC1-C12	Chemostat	4	gray70	23	37.5		
C12TC5	Control	MC1-C12	Chemostat	5	gray70	23	38.5		
C12TC7	Control	MC1-C12	Chemostat	7	gray70	23	40.5	696.4336903	1.11
C12TC10	Control	MC1-C12	Chemostat	10	gray70	23	43.5		
C12TC14	Control	MC1-C12	Chemostat	14	gray70	23	47.5	306.9109699	1.1
C12T18	Control	MC1-C12	NA	18	gray70	24	18		
C12T25	Control	MC1-C12	NA	25	gray70	24	25		
MetTB0	Methanol	MC2-Met	Batch	0	#a44f9a	21	0.5	90.44265803	1.072215994
MetTB1	Methanol	MC2-Met	Batch	1	#a44f9a	21	1.5	155.3097682	1.328808049
MetTB2	Methanol	MC2-Met	Batch	2	#a44f9a	21	2.5	431.5602013	1.890011035
MetTB3	Methanol	MC2-Met	Batch	3	#a44f9a	21	3.5	250.7016944	6.984599822
MetTB4	Methanol	MC2-Met	Batch	4	#a44f9a	21	4.5	206.7877125	19.16179869
MetTB5	Methanol	MC2-Met	Batch	5	#a44f9a	21	5.5	187.2422338	14.09588495
MetTC0	Methanol	MC2-Met	Chemostat	0	#a44f9a	23	33.5	447.325825	1.817064394
MetTC1	Methanol	MC2-Met	Chemostat	1	#a44f9a	23	34.5	403.7377055	3.215427959
MetTC2	Methanol	MC2-Met	Chemostat	2	#a44f9a	23	35.5	397.9248023	3.800805705
MetTC3	Methanol	MC2-Met	Chemostat	3	#a44f9a	23	36.5	370.077379	5.110523386
MetTC4	Methanol	MC2-Met	Chemostat	4	#a44f9a	23	37.5		
MetTC5	Methanol	MC2-Met	Chemostat	5	#a44f9a	23	38.5		
MetTC7	Methanol	MC2-Met	Chemostat	7	#a44f9a	23	40.5	438.5997719	8.451207329
MetTC10	Methanol	MC2-Met	Chemostat	10	#a44f9a	23	43.5		
MetTC14	Methanol	MC2-Met	Chemostat	14	#a44f9a	23	47.5	384.5588768	13.22113666
EthTB0	Ethanol	MC3-Eth	Batch	0	#6870c8	21	0.5	93.60393587	1.076452766
EthTB1	Ethanol	MC3-Eth	Batch	1	#6870c8	21	1.5	114.5977343	1.629226512
EthTB2	Ethanol	MC3-Eth	Batch	2	#6870c8	21	2.5	440.7930147	14.46305077
EthTB3	Ethanol	MC3-Eth	Batch	3	#6870c8	21	3.5	331.0374665	13.74541242
EthTB4	Ethanol	MC3-Eth	Batch	4	#6870c8	21	4.5	211.1395196	11.52157254
EthTB5	Ethanol	MC3-Eth	Batch	5	#6870c8	21	5.5	212.2098795	10.13279914
EthTC0	Ethanol	MC3-Eth	Chemostat	0	#6870c8	23	33.5	676.6585125	2.152270269
EthTC1	Ethanol	MC3-Eth	Chemostat	1	#6870c8	23	34.5	608.8939416	9.982626159
EthTC2	Ethanol	MC3-Eth	Chemostat	2	#6870c8	23	35.5	559.9316196	12.45637285
EthTC3	Ethanol	MC3-Eth	Chemostat	3	#6870c8	23	36.5	493.0613292	13.0965147
