MC,TP,qPCR_ID,Sample,Fraction,Well_ID,Plate_ID,Sample_ID,Lueders_BD,Corrected,Buckley,Ribo_conc,Ribo_RMAX,Dil,qPCR_conc,qPCR_RMAX
MC1,2.5,Plate 1,C12-TB2,1,,,C12-TB2-1,1.840705955,1.814052771,1.826145132,0,0,1,0.001225977,0.000491611
MC1,2.5,Plate 1,C12-TB2,2,,,C12-TB2-2,1.835478102,1.808824918,1.820947456,0,0,1,0,4.86E-06
MC1,2.5,Plate 1,C12-TB2,3,,,C12-TB2-3,1.832807356,1.806154173,1.818351777,0,0,1,0,3.11E-05
MC1,2.5,Plate 1,C12-TB2,4,,,C12-TB2-4,1.83009873,1.803445547,1.815758203,0,0,1,0,4.95E-06
MC1,2.5,Plate 1,C12-TB2,5,,,C12-TB2-5,1.824567841,1.797914657,1.810577372,0.02706268,0.015416005,1,0.006039,0.00242161
MC1,2.5,Plate 1,C12-TB2,6,,,C12-TB2-6,1.821745576,1.795092393,1.807990115,0.022898135,0.01304371,1,0.005846106,0.002344261
MC1,2.5,Plate 1,C12-TB2,7,,,C12-TB2-7,1.813051505,1.786398322,1.800240978,0.08450468,0.048137307,1,0.035070588,0.014063139
MC1,2.5,Plate 1,C12-TB2,8,,,C12-TB2-8,1.807066059,1.780412876,1.795085415,0.323894215,0.184503336,1,0.306647832,0.122964322
MC1,2.5,Plate 1,C12-TB2,9,,,C12-TB2-9,1.804016517,1.777363334,1.792510792,0.99984295,0.569551264,1,0.297812716,0.119421483
MC1,2.5,Plate 1,C12-TB2,10,,,C12-TB2-10,1.800929095,1.774275912,1.789938274,1.711980145,0.975213613,10,1.167830731,0.46829457
MC1,2.5,Plate 1,C12-TB2,11,,,C12-TB2-11,1.794640613,1.767987429,1.784799556,1.75549246,1,10,2.493795159,1
MC1,2.5,Plate 1,C12-TB2,12,,,C12-TB2-12,1.791439552,1.764786368,1.782233356,0.62187459,0.354245093,1,0.034339428,0.013769947
MC1,2.5,Plate 1,C12-TB2,13,,,C12-TB2-13,1.784923791,1.758270608,1.777107271,0.57678262,0.328558871,1,0.125877103,0.05047612
MC1,2.5,Plate 1,C12-TB2,14,,,C12-TB2-14,1.781609091,1.754955908,1.774547387,0.30163544,0.171823831,1,0.296802,0.119016191
MC1,2.5,Plate 1,C12-TB2,15,,,C12-TB2-15,1.778256512,1.751603329,1.771989609,0.05865578,0.033412721,1,0.00041134,0.000164946
MC1,2.5,Plate 1,C12-TB2,16,,,C12-TB2-16,1.774866053,1.74821287,1.769433936,0.08680236,0.049446159,1,0.007201405,0.002887729
MC1,2.5,Plate 1,C12-TB2,17,,,C12-TB2-17,1.771437714,1.744784531,1.766880369,0.09857797,0.056154026,1,0.011425341,0.004581507
MC1,2.5,Plate 1,C12-TB2,18,,,C12-TB2-18,1.727343038,1.700689855,1.736401804,0.12615013,0.071860252,1,0.008134226,0.003261786
MC2,2.5,Plate 3,Met-TB2,1,,,Met-TB2-1,1.838110968,1.811457785,1.823545241,0.001428,0.000448686,1,0.005423386,0.000324296
MC2,2.5,Plate 3,Met-TB2,2,,,Met-TB2-2,1.835478102,1.808824918,1.820947456,0,0,1,0.002441252,0.000145977
MC2,2.5,Plate 3,Met-TB2,3,,,Met-TB2-3,1.832807356,1.806154173,1.818351777,0.03886496,0.012211612,1,0.026236421,0.001568827
MC2,2.5,Plate 3,Met-TB2,4,,,Met-TB2-4,1.827352225,1.800699042,1.813166735,0.04885516,0.015350595,1,0.012542777,0.000750005
MC2,2.5,Plate 3,Met-TB2,5,,,Met-TB2-5,1.824567841,1.797914657,1.810577372,0.11521112,0.036200051,1,0.123266182,0.007370798
MC2,2.5,Plate 3,Met-TB2,6,,,Met-TB2-6,1.818885432,1.792232249,1.805404964,0.10269708,0.032268062,1,0.335913192,0.020086193
MC2,2.5,Plate 3,Met-TB2,7,,,Met-TB2-7,1.815987408,1.789334225,1.802821918,0.0676788,0.0212651,1,0.280438443,0.016769036
MC2,2.5,Plate 3,Met-TB2,8,,,Met-TB2-8,1.813051505,1.786398322,1.800240978,0.51692232,0.162420209,1,4.869488998,0.29117491
MC2,2.5,Plate 3,Met-TB2,9,,,Met-TB2-9,1.810077722,1.783424539,1.797662144,0.81231676,0.25523498,1,7.855778362,0.469742423
MC2,2.5,Plate 3,Met-TB2,10,,,Met-TB2-10,1.804016517,1.777363334,1.792510792,2.17045816,0.681971459,10,10.81873578,0.646914784
MC2,2.5,Plate 3,Met-TB2,11,,,Met-TB2-11,1.800929095,1.774275912,1.789938274,3.18262316,1,10,16.72358718,1
MC2,2.5,Plate 3,Met-TB2,12,,,Met-TB2-12,1.794640613,1.767987429,1.784799556,1.63445764,0.513556761,10,12.649537,0.756388977
MC2,2.5,Plate 3,Met-TB2,13,,,Met-TB2-13,1.791439552,1.764786368,1.782233356,1.32349952,0.415851784,10,13.08426703,0.782384
MC2,2.5,Plate 3,Met-TB2,14,,,Met-TB2-14,1.788200611,1.761547428,1.77966926,0.511454,0.160702029,1,2.1904262,0.130978251
MC2,2.5,Plate 3,Met-TB2,15,,,Met-TB2-15,1.774866053,1.74821287,1.769433936,0.30786424,0.09673286,1,0.595017808,0.035579556
MC2,2.5,Plate 3,Met-TB2,16,,,Met-TB2-16,1.771437714,1.744784531,1.766880369,0.1859838,0.058437267,1,0.57753683,0.034534267
MC2,2.5,Plate 3,Met-TB2,17,,,Met-TB2-17,1.767971496,1.741318313,1.764328908,0.1150008,0.036133967,1,0.314598417,0.018811659
MC3,2.5,Plate 3,Eth-TB2,1,,,Eth-TB2-1,1.835478102,1.808824918,1.820947456,0,0,1,0.027482242,0.001220112
MC3,2.5,Plate 3,Eth-TB2,2,,,Eth-TB2-2,1.832807356,1.806154173,1.818351777,0.01057692,0.004499259,1,0.028106884,0.001247844
MC3,2.5,Plate 3,Eth-TB2,3,,,Eth-TB2-3,1.83009873,1.803445547,1.815758203,0.01993616,0.008480536,1,0.345437601,0.015336175
MC3,2.5,Plate 3,Eth-TB2,4,,,Eth-TB2-4,1.827352225,1.800699042,1.813166735,0.02897992,0.012327612,1,0.635827699,0.028228441
MC3,2.5,Plate 3,Eth-TB2,5,,,Eth-TB2-5,1.824567841,1.797914657,1.810577372,0.16379504,0.069675891,1,2.296085693,0.101937869
MC3,2.5,Plate 3,Eth-TB2,6,,,Eth-TB2-6,1.821745576,1.795092393,1.807990115,0.3174338,0.135031456,1,3.698083606,0.164181486
MC3,2.5,Plate 3,Eth-TB2,7,,,Eth-TB2-7,1.815987408,1.789334225,1.802821918,0.18409092,0.078309446,1,2.611824761,0.115955537
MC3,2.5,Plate 3,Eth-TB2,8,,,Eth-TB2-8,1.813051505,1.786398322,1.800240978,0.60704444,0.258227368,1,2.466757501,0.109515078
MC3,2.5,Plate 3,Eth-TB2,9,,,Eth-TB2-9,1.807066059,1.780412876,1.795085415,0.95270536,0.405266206,1,7.496491696,0.332817015
MC3,2.5,Plate 3,Eth-TB2,10,,,Eth-TB2-10,1.804016517,1.777363334,1.789938274,1.876755,0.79834271,10,18.3164623,0.813184429
MC3,2.5,Plate 3,Eth-TB2,11,,,Eth-TB2-11,1.800929095,1.774275912,1.787367863,2.175639075,0.925483398,10,17.35733831,0.770602806
MC3,2.5,Plate 3,Eth-TB2,12,,,Eth-TB2-12,1.797803794,1.77115061,1.784799556,2.350813725,1,10,22.52436429,1
MC3,2.5,Plate 3,Eth-TB2,13,,,Eth-TB2-13,1.791439552,1.764786368,1.77966926,2.008530525,0.854397991,10,12.82373492,0.569327274
MC3,2.5,Plate 3,Eth-TB2,14,,,Eth-TB2-14,1.788200611,1.761547428,1.777107271,1.753045575,0.745718623,10,9.06138399,0.402292552
MC3,2.5,Plate 3,Eth-TB2,15,,,Eth-TB2-15,1.781609091,1.754955908,1.771989609,1.00368735,0.426953161,10,1.52612006,0.06775419
MC3,2.5,Plate 3,Eth-TB2,16,,,Eth-TB2-16,1.778256512,1.751603329,1.769433936,0.575394975,0.244764172,1,0.969212497,0.043029516
MC3,2.5,Plate 3,Eth-TB2,17,,,Eth-TB2-17,1.774866053,1.74821287,1.766880369,0.2561703,0.108970905,1,0.100408242,0.004457761
MC3,2.5,Plate 3,Eth-TB2,18,,,Eth-TB2-18,1.771437714,1.744784531,1.764328908,0.161393625,0.068654366,1,0.254671097,0.011306472
MC3,2.5,Plate 3,Eth-TB2,19,,,Eth-TB2-19,1.767971496,1.741318313,1.761779552,0.169985775,0.072309334,1,0.248024145,0.011011372
MC4,2.5,Plate 1,Ace-TB2,1,,,Ace-TB2-1,1.845782289,1.819129106,1.828747128,0,0,1,0.000110328,4.38E-05
