#OTU_ID,Kingdom,Phyla,Class,Order,Family,Genus,Species,Strain
84d9c77ad898388a2cf54a9b63090807,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,metagenome,84d9c77ad898388a2cf54a9b63090807
181d7d23c95fc9fa9016a3d49081c957,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,,181d7d23c95fc9fa9016a3d49081c957
bf3d945270a961ec2f4c68a44eeb162c,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,uncultured,,,bf3d945270a961ec2f4c68a44eeb162c
7ff2ec4c06a1f7ae21d18f48f86388c4,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Elev-16S-1166,,7ff2ec4c06a1f7ae21d18f48f86388c4
f4dd45919fc0919664003b85bf6d7a4b,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Ambiguous_taxa,,f4dd45919fc0919664003b85bf6d7a4b
319b29015a6a76d05fea488aef4bed9e,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus Planktophila,uncultured bacterium,319b29015a6a76d05fea488aef4bed9e
6b2452cfff2553506a2bda742d2e2507,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus Planktophila,,6b2452cfff2553506a2bda742d2e2507
c9a385c8042a4face0f7c99f005994e2,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus Planktophila,,c9a385c8042a4face0f7c99f005994e2
bea80059f11b714cab62d2ec0285c9cc,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,actinobacterium SCGC AAA023-D18,bea80059f11b714cab62d2ec0285c9cc
cdd263c32b27b3c030604b09ce6286f4,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,actinobacterium SCGC AAA023-D18,cdd263c32b27b3c030604b09ce6286f4
f364a6c43b252770743c6a1f55fd4c6f,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,marine metagenome,f364a6c43b252770743c6a1f55fd4c6f
0f3c86da5ba075f4635ddf87d61a0ae2,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,uncultured Frankineae bacterium,0f3c86da5ba075f4635ddf87d61a0ae2
64ef787fa068331fb5146fa8def303a4,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,uncultured Frankineae bacterium,64ef787fa068331fb5146fa8def303a4
0eb6cdf341e76be60e9608ba4883d7be,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,,0eb6cdf341e76be60e9608ba4883d7be
b86f6b1d7eb0d3f9d850f19b71251be1,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,,b86f6b1d7eb0d3f9d850f19b71251be1
2dcf483ff23d30c151a5ba85a105a270,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,,2dcf483ff23d30c151a5ba85a105a270
