,AceTB0,AceTB1,AceTB2,AceTB3,AceTB4,AceTB5,AceTC0,AceTC1,AceTC10,AceTC14,AceTC2,AceTC3,AceTC4,AceTC5,AceTC7,C12T18,C12T25,C12TB0,C12TB1,C12TB2,C12TB3,C12TB4,C12TB5,C12TC0,C12TC1,C12TC10,C12TC14,C12TC2,C12TC3,C12TC4,C12TC5,C12TC7,EthTB0,EthTB1,EthTB2,EthTB3,EthTB4,EthTB5,EthTC0,EthTC1,EthTC10,EthTC14,EthTC2,EthTC3,EthTC4,EthTC5,EthTC7,GluT18,GluT25,GluTB0,GluTB1,GluTB2,GluTB3,GluTB4,GluTB5,GluTC0,GluTC1,GluTC10,GluTC14,GluTC2,GluTC3,GluTC4,GluTC5,GluTC7,MetTB0,MetTB1,MetTB2,MetTB3,MetTB4,MetTB5,MetTC0,MetTC1,MetTC10,MetTC14,MetTC2,MetTC3,MetTC4,MetTC5,MetTC7,XylTB0,XylTB1,XylTB2,XylTB3,XylTB4,XylTB5,XylTC0,XylTC1,XylTC10,XylTC14,XylTC2,XylTC3,XylTC4,XylTC5,XylTC7
3cd7863b3a24b807deaf59bcae7b4889,0.053848484,0.034649252,0.031699569,0.011897916,0.312174284,3.171422394,45.8352012,46.62790437,46.29061351,32.46038185,46.17085931,24.99298548,24.26696145,33.20610428,51.37035888,1.164764468,28.28048394,0.056351395,0.01970012,0.011482814,0.014072731,0.325615385,0.380449378,54.25098593,45.07802753,34.65002618,22.72948178,47.21752493,32.72421287,30.24582227,61.51310109,64.62497175,0.038808234,0.021756394,0.015071241,0.015823363,0.272187675,0.523415748,14.64632315,4.453520539,2.717080779,1.732648205,2.339309438,1.367026672,0.72842673,0.661717828,0.416276557,25.3650622,29.73347483,0.173095945,0.02925443,0.019406037,0.027109326,0.197266534,0.081336786,8.433891527,2.709760155,0.732004533,0.575278959,4.048390539,2.755780805,1.625716166,1.059315503,0.518907647,0.056005377,0.032322464,0.0173032,0.018042204,0.033447544,0.07817828,29.87340536,21.69378204,45.94688362,45.88273558,16.5483304,20.33346296,18.3499815,31.86702612,27.431423,0.180524305,0.023480609,0.019981061,0.032869508,0.178444861,0.30229654,0.369684278,0.087163885,11.87560626,17.48292819,5.959486859,6.376162321,7.471475563,6.871738581,3.985243469
88fc69b86967c9be5c2ac8f06893fd3d,0.057214014,0.043688187,0.040467535,0.023795832,0.019510893,0.007910099,41.34913011,35.25688423,0.053878048,0.025961382,39.37124218,64.79870739,65.12643361,53.70670427,0.211443215,0.36668511,0.040079787,0.041522081,0.018240852,0.028707035,0.038079155,0.043477054,0.027750425,0.020722302,0.003408804,0.038401117,0.39552289,0.014033414,0.029152974,0.016242386,0.049452878,0.036808627,0.056448341,0.026107672,0.00753562,0.0066945,0.010105978,0.028428331,47.31159623,59.85176679,0.172182158,0.058219005,64.45085122,67.88471866,52.85368982,46.50418062,26.84839755,5.429813968,48.15607377,0.049455984,0.023403544,0.024257546,0.032783371,0.027087345,0.027979855,62.93326668,80.34215833,0.22582212,0.045984778,71.91447254,59.64336954,23.91792781,10.05887369,0.101054658,0.044804301,0,0.011535467,0.014433763,0.020394844,0.036594088,30.38840797,39.42054825,0.079796,0.013305343,35.66256591,19.64887549,12.53028296,40.47374949,13.69800017,0.12819842,0.053222714,0.049518283,0.058996553,0.067542214,0.040356969,18.65979381,2.156894992,0.027359327,48.76565331,4.286282758,5.020012329,6.118973568,1.025359573,0.127404587
7b5c2176966637b4c157ca8c93139695,0.126207384,31.14214479,59.07720531,20.00832854,10.0440022,10.29051157,0.010673498,0.016804463,0,0.011898967,0.022302967,0.009675203,0.00921192,0.004745666,0,0.015005017,0.005592528,0.041522081,23.07248915,60.66944806,27.54944082,2.768655819,2.333721243,0.011656295,0.012953456,0.048874149,0.11589045,0.087708835,0.033128379,0.02873653,0.024333956,0.009040716,0.125244756,27.666518,62.68592694,24.50795428,6.116811631,6.012592079,0,0.025444961,0.00849329,0.007593783,0.036294906,0.023867773,0.020553802,0.012457589,0.010082823,0.004445202,0.00877016,0.074183976,28.60832497,51.85500918,13.04967311,1.817796386,0.508842935,0.029992502,0.018585461,0.027269086,0.041292454,0.013581948,0.00279491,0.010431545,0.014384498,0.012832337,0.04000384,29.96482555,54.02828112,16.54109292,1.862457171,1.503684359,0.058578495,0,0.017346956,0.0103486,0.017965241,0.035647158,0.018497965,0.012656946,0.00559305,0.068023651,36.97100145,54.68034645,44.96632982,9.868667917,10.11741594,0.031411082,0.014801414,0.019068622,0.015927054,0.025581263,0.026046415,0.013444354,0,0.014700529
c4debfffb5552abc5445848e898e9b3b,0,0.070804993,0.034397405,0.182930457,3.410812115,6.808485954,0.035222542,0.05489458,0.035137858,0.049759316,0.03066658,0.033863212,0.023029801,0.02644014,0,0.424829552,0.164047499,0,0.071504141,0.020094925,0.678802328,20.54799589,14.69877361,0.688368961,1.225806012,0.283644615,3.239698834,2.932281763,5.513224849,0.922692488,0.591864609,0.17241936,0.047628288,0.106606329,0.032461134,1.657801526,12.56307815,34.10480021,9.094239597,11.21535571,0.750498016,3.102060447,12.743621,13.33492452,23.44531044,21.92315866,20.54303205,0.285974648,0.030695561,0.108184965,0.098629221,0.049208164,0.681515853,6.709417563,0.818573418,1.310672332,1.249872225,0.414149247,21.58844562,2.522361707,2.657958971,5.766237101,12.15592795,0.268677066,0.051204916,0.075102196,0.024032222,1.300482088,4.528471202,2.805269549,0.334385577,0.076517346,0.076326608,0.022175571,0.064831088,0.039697971,0.03699593,0.08923147,0.095703295,0,0.120533793,0.026062254,0.852921594,13.17156556,6.113700049,24.01417526,33.77353836,0.053889584,0.050767485,17.94383492,19.54088853,1.54878956,0.106281961,0.094503402
0d102db233504b33faacd6e8217d40d4,0.040386363,0.028623295,0.01888485,0.023300085,0.011809225,0,0.049098089,0.039210414,0.107756096,0.973551842,0.027878709,0.007740163,0.025793377,0.009491332,0.096528424,0,0,0.07118071,0.018970486,0.020094925,0.019867385,0.006475306,0.013427625,0.178729852,0.182030147,38.28765928,46.88179922,0.162787597,0.293517439,0.383570201,0.624833195,8.131477834,0.02822417,0.026107672,0.00753562,0,0.031665398,0.030936714,6.757465394,7.240069941,0,0.025312611,3.739060167,0.30849096,0.031241778,0.027113577,0,0.011853871,4.851652737,0.12363996,0.026746907,0.008316873,0.020174382,0.007655119,0.03188402,0.367908023,0.604956742,87.14688664,6.751316197,0.730514756,1.251187837,3.890163855,9.566718382,93.25660665,0.04000384,0.006654625,0.014419333,0.014433763,0.008973731,0.019960412,31.033585,32.63947701,17.57246691,2.099287425,40.86389377,52.85096247,61.46038452,13.78847712,39.90889543,0.115116948,0.045395844,0.026930996,0.037926355,0.025015635,0.028935185,50.56217784,56.54551435,0.010777917,0.060721894,56.1034999,32.13259362,0.043021932,0.041815853,0.031501134
efc35a2abf6cf34053250ba69f3779d1,0.011779356,0.004519468,0,0.004461718,0.002053778,0.010019459,7.327356175,7.806233336,19.34339057,4.883985072,7.586726017,4.171947715,4.015476026,5.501583019,24.36768136,0.007502509,0.02889473,0.023726903,0,0,0,0,0,0.630735059,0.485413727,0.598708326,0.486739889,0.497484511,0.395552846,0.362954865,0.798310752,0.946046301,0,0,0,0.004868727,0.007411051,0.005852892,1.635670108,0.523252779,0.184536035,20.64496532,0.182844151,0.133062832,0.073171534,0.076943934,0.037450486,1.176496736,8.050130237,0.040182987,0.006686727,0,0,0,0,18.01649588,7.394225497,4.162796445,1.736159989,9.886687751,12.29667033,8.934217072,2.116576079,0.86538076,0.012801229,0.007605286,0,0,0,0,1.203299922,0.60545279,2.992349992,4.801750392,0.617066979,0.757502106,0.804363133,1.862469623,1.733845408,0.052325886,0,0.006949934,0,0.005836981,0.004568713,0.649967784,0.957158128,8.397655389,4.790061518,2.416008186,6.968284149,18.18393669,8.634102571,6.212023633
696c19c72e85c4f4e260771c6f28957e,5.322586073,0.600335947,0.169289188,2.810386881,22.28246638,16.950815,0,0.003360893,0.014055143,0,0,0.008707683,0.012896688,0.006779523,0,0.015942831,0.012117145,8.509060711,1.062347233,0.127267856,3.503282258,34.23771773,51.63906544,0.005180575,0,0.01309129,0,0.009823389,0.008613379,0.042480087,0.032183619,0.020018727,4.946285876,0.899626878,0.153031058,3.940017284,45.73494041,2.875442102,0.007901788,0,0,0.007593783,0.003424048,0.003580166,0.032063931,0.016854385,0.010803025,0.003704335,0.005262096,11.78288823,0.891006352,0.122673875,2.830087569,28.31628597,10.35579964,0,0,0,0.009384649,0.011641669,0.016769457,0.004814559,0,0.010426274,5.120491567,1.262477422,0.355676892,5.946710545,34.189101,21.21126433,0.016271804,0.008914642,0.005204087,0.008870229,0,0.003240651,0.001193417,0.012024099,0.022372199,6.451781696,0.540054005,0.02432477,1.017269134,40.21763602,45.99247685,0.004027062,0.024669024,0.004145353,0,0.021791446,0.007813924,0.003585161,0.007840473,0
dfa4024993b2772bac9172cae6b7ce33,0.765658129,9.736439714,0.128821653,0.778321997,5.66483367,1.120070031,0,0,0,0.00757207,0,0,0,0,0,0,0,1.088471691,11.75878297,0.160759397,1.598496701,5.593739304,0.716140005,0,0,0.022691569,0,0,0.014576487,0.05747306,0,0.007749185,1.259503607,10.04492695,0.377360678,2.621200872,5.884374137,3.313572856,0,0.007176784,0,0,0,0,0.014798737,0,0,0,0,3.072453017,17.46656637,0.648716083,2.917720043,17.48252572,0.944157416,0,0,0.011930225,0.014076973,0,0,0,0,0,1.036899542,13.9100675,0.349909158,5.090066684,40.21863273,6.025549327,0.009763083,0,0,0,0.008592072,0,0,0,0,1.559311391,15.27257074,0.274522409,1.223757069,6.646654159,0.703581871,0,0.005756106,0,0,0,0,0,0,0.004200151
095f9e0c806a5918bb36579eee024e2d,1.502709252,1.376177886,2.557548207,59.69233973,26.32070773,9.166750162,0.006404099,0,0,0,0.022302967,0,0.010133112,0.004745666,0,0,0.015845497,0.655455705,0.539929225,0.822935007,35.71990298,5.089590483,0.562169904,0.006475719,0.004090565,0.018327806,0.007476803,0.002806683,0.092759461,0.003748243,0.02354899,0.005166123,1.174831096,0.758210319,1.321052204,50.32194457,12.47818793,6.362929456,0,0.009134088,0.010037525,0.005062522,0,0.022674384,0.005755064,0.01172479,0.007922218,0.005186069,0.00877016,0.417284866,0.70294216,1.075648889,55.55394441,9.312746951,0.310381177,0,0.010222003,0.014486702,0.002815395,0.006790974,0.016769457,0.003209706,0,0,0.968092937,0.539024622,1.091062897,52.7395283,2.774514603,1.138575159,0.090308513,0.003714434,0.006938783,0.014783714,0,0,0.011337463,0.005695626,0.00807885,1.093611009,0.558838493,0.404833679,27.46373819,8.492808005,4.174281189,0.025773196,0.003289203,0,0.015927054,0.01800163,0.009550352,0.014340644,0.004355818,0.002800101
78ba222b6597ac3c1cb9edb756a735bf,0.013462121,1.346801347,12.83090641,4.894009399,13.34134307,7.173932532,0,0.00448119,0.002342524,0,0.006505032,0.006772642,0.003684768,0.003389762,0.004596592,0.006564695,0.02889473,0,0.642077998,6.403582638,12.12821086,2.838034097,3.197565124,0.005828147,0.010226413,0.006982021,0.02243041,0.013331743,0.007950811,0.006871779,0.007064697,0.014852604,0.015876096,2.02552025,6.023858933,4.655111555,3.940657697,6.918954172,0,0.003914609,0,0,0.006163286,0.00835372,0,0.003663997,0.00432121,0.038525082,0.007893144,0,1.431795386,10.84104377,11.6330532,2.756431772,2.638565349,0.010997251,0.003717092,0,0.004692324,0,0.004658183,0,0.003082392,0.003208084,0.012801229,1.329023671,6.92320263,3.799688231,0.8769783,0.901545269,0.013017443,0,0.010408174,0,0,0,0.005370377,0.003164237,0.0049716,0.015697766,2.009940124,16.20290334,7.64089641,3.552220138,9.435916179,0.007248711,0,0.004974423,0.004977204,0.006632179,0.008682138,0.005377742,0,0
